word,ceviri,master,CreatedAt
interlaced,"veriler veya bilgiler ic ice gectiklerinde alternatif bir sekilde duzenlenmesi durumu","data science","2024-08-11 14:35:14"
aggregate,"bircok ogeyi veya veriyi bir araya getirip butun olusturmak","data science","2024-08-11 14:36:50"
recovery,"bir bozulma veya kayip durumunda eski duruma dönme cabasi, sureci","data science","2024-08-11 14:38:10"
recessitate,"bir seyi eski haline getirmek yeniden baslatmak","data science","2024-08-11 14:39:26"
insufficient,"bir seyin belirli bir is icin yetirli miktarda bulunmamasi durumu","data science","2024-08-11 14:40:28"
permanently,"kalici olarak","data science","2024-08-11 14:44:57"
rollback,"veri tabaninda bir islemin eski haline dondurulmesi","data science","2024-08-11 14:45:35"
relate,"veri tabaninda tablolar veya veriler arasindaki iliski seklini ifade eder","data science","2024-08-11 14:48:57"
component,"bir butunun parcasi veya bileseni","data science","2024-08-11 14:50:19"
purpose,"amac, hedef","data science","2024-08-11 14:50:56"
participant,"herhangi bir olusum, topluluk icinde bulunan kimse","data science","2024-08-11 14:52:24"
retrive,"geri alınma, bulunma, elde edilme","data science","2024-08-11 14:53:37"
transition,"bir durum veya asamadan bir baskasina gecme","data science","2024-08-11 14:55:53"
properties,"bir seyin sahip oldugu nitelikler","data science","2024-08-11 14:56:59"
participate,"herhangi bir olusumda yer almak rol ustlenmek","data science","2024-08-11 14:58:19"
precedence,"islemler arasinda oncelik sirasini belirler","data science","2024-08-11 15:02:26"
anomaly,"olagan disi anormal veriler","data science","2024-08-11 15:03:37"
classification,"verileri gruplara, katagorilere ayirma sureci","data science","2024-08-11 15:08:27"
regression,"hedef degiskeni tahmin etmek icin kullanilan modelleme teknigi","data science","2024-08-11 15:10:08"
bayes,"kosullu olasilik hesabi yapmayi saglayan bir teorem","data science","2024-08-11 15:11:15"
correlation,"degiskenler arasinda bir iliskinin varligi ve orani","data science","2024-08-11 15:14:51"
artifact,"veri toplama veya analiz sirasinda ortaya cikan yaniltici sonuc","data science","2024-08-11 15:16:26"
visualize,gorsellestirme,"data science","2024-08-11 15:17:12"
validate,"verilerin veya sistemlerin dogrulugunu kontrol etme/ doğrulamak","data science","2024-08-11 15:19:37"
accuracy,"dogruluk, kesinlik olcusu","data science","2024-08-11 15:20:32"
precision,"hassasiyet olcusu","data science","2024-08-11 15:21:11"
"linear regression","surekli bir bagımlı degiskeni tahmin etmek icin kullanılan regresyon yontemi","data science","2024-08-11 15:26:27"
"logistic regression","birden fazla katagoriye ayrilmis bagimli degiskenleri siniflandirmak i. k. regresyon yontemi","data science","2024-08-11 15:28:23"
clustering,kumeleme,"data science","2024-08-11 15:29:00"
supervised,"denetimli ogrenme","data science","2024-08-11 15:29:32"
unsupervised,"denetimsiz ogrenme","data science","2024-08-11 15:29:41"
"under sampling","az ornegi olan sinif icin diğer sinifin orneklerini azaltma","data science","2024-08-11 15:31:23"
"over sampling","cok ornegi olan sinif icin diğer sinifin orneklerini cogaltma","data science","2024-08-11 15:31:48"
avoid,kacinmak,"artificial intelligence","2024-08-11 16:10:23"
consume,"harcamak, kullanmak, tüketmek, yok etmek","artificial intelligence","2024-08-12 13:53:58"
compute,"hesaplama, işlem yapma","artificial intelligence","2024-08-12 13:54:56"
equilateral,eşkenar,"artificial intelligence","2024-08-12 14:02:34"
extract,"bir şeyden para, bilgi, özet, parça çıkarma","artificial intelligence","2024-08-12 14:09:47"
notation,"semboller, işaretler, yazım kuralları, alansal gösterim","artificial intelligence","2024-08-12 14:34:32"
implication,"çıkarımlar, sonuçlar, etkiler/ mantıktaki (ise) önermesi","artificial intelligence","2024-08-12 14:39:16"
concept,"kavram, düşünce, fikir, anlayış, konsept","artificial intelligence","2024-08-12 14:42:52"
bound,"sınır limit","artificial intelligence","2024-08-12 16:22:17"
identifier,tanımlayıcı,"artificial intelligence","2024-08-12 16:23:45"
treshold,"bir dinamik islemcinin(compressor vs) sinyal işlemeye başlaması için gereken ses seviyesi","mix master","2024-08-13 11:35:45"
ratio,"kompresörün sinyal üzerinde ne kadar sıkıştırma yapacağını belirten oran","mix master","2024-08-13 11:41:23"
attack,"bir dinamik islemcinin(compressor vs) sinyal işlemeye başlaması için gereken süre","mix master","2024-08-13 11:46:17"
sidechain,"bir efektin (compressor vs) başka ses kaynağından gelen sinyale göre tetiklenmesi","mix master","2024-08-13 11:48:42"
relase,"bir dinamik islemcinin(compressor vs) sinyal işlemeyi durdurması için gereken süre","mix master","2024-08-13 11:51:04"
"make up gain","bir dinamik islemci(compressor vs) sonucu kaybedilen sinyal miktarını telafi için açılan gain","mix master","2024-08-13 11:58:03"
"gain stage","bir ses sinyalinin girdiği her aşama öncesi sonrası sinsal seviyesini dikkatle kontrol etme","mix master","2024-08-13 13:51:02"
crucial,"hayati, önemli","mix master","2024-08-13 13:52:28"
overlooked,"gözden kaçırışmış, ihmal edilmiş","mix master","2024-08-13 13:53:29"
proper,"doğru, düzgün, profesyonel","mix master","2024-08-13 13:56:00"
plenty,"bol miktarda","mix master","2024-08-13 13:56:34"
prosedure,prosedür,"mix master","2024-08-13 13:57:22"
daw,"prodüksiyon programı(studio one vs)","mix master","2024-08-13 13:59:53"
flow,"akış, düzenli hareket","mix master","2024-08-13 14:00:46"
clipping,"ses patlaması, sinyal maks seviyeyi aşınca kesilip distorsion'a uğraması","mix master","2024-08-13 14:02:22"
headroom,"sinyalin maks seviyeye gelmesine kalan alan miktarı","mix master","2024-08-13 14:04:43"
applie,uygula,"mix master","2024-08-13 14:53:28"
generate,oluşturmak,"mix master","2024-08-13 14:55:54"
gear,"müzik aletleri, ekipmanları ve teknolojik araçları","mix master","2024-08-13 14:56:55"
sample,"projeye bağımsız ses dosyası eklemek/ sanal enstruman için ses/ popülasyondan alınan örneklem","mix master","2024-08-13 15:06:24"
regard,"saygı, ilgi, görüş","mix master","2024-08-13 15:08:41"
knob,"miktar ayarı yapan yuvarlak tuş(dönerek ayarlanır)","mix master","2024-08-13 15:14:16"
fader,"miktar ayarı yapan dikey çizgi tuş(aşağı yukarı ayarlanır)","mix master","2024-08-13 15:14:48"
adjust,ayarlamak,"mix master","2024-08-13 15:17:02"
prevent,önlemek,"mix master","2024-08-13 15:17:53"
metering,"ses seviyelerini, dinamiklerini ve parametrelerini ölçüp görselleştirme (plugin türü)","mix master","2024-08-13 15:21:32"
"spectrum analyzer","eq tablosu","mix master","2024-08-13 15:28:29"
rely,güvenmek,"mix master","2024-08-13 16:51:30"
overall,"tüm, tam","mix master","2024-08-13 16:52:42"
influence,etkilemek,"mix master","2024-08-13 16:53:18"
despite,aksine,"mix master","2024-08-13 16:54:43"
perceive,algılamak,"mix master","2024-08-13 16:56:41"
constantly,sürekli,"mix master","2024-08-13 16:57:26"
illustration,"kavram, fikir, hikayeyi görsel şeklide ifade eden resim, foto, video vs","mix master","2024-08-13 17:02:34"
sub-bass,"20-60 Hz aralığında fiziksel anlaşılan bölge derinlik-enerji-duygusal etki katma bölgesi","mix master","2024-08-13 17:16:20"
approx,yaklaşık,"mix master","2024-08-13 17:18:05"
amplitude,"genlik yükseklik (dB)","mix master","2024-08-13 17:19:29"
curve,eğri,"mix master","2024-08-13 17:20:31"
perception,algı,"mix master","2024-08-13 17:22:28"
psychoacoustics,"insan kulağının sesleri algılamasını ve beynin işlemesini araştıran bilim","mix master","2024-08-13 17:25:18"
"rule of thumb","temel kural","mix master","2024-08-13 18:19:24"
nothc,"çok dar bir frekans aralığını azaltmak veya tamamen kesmek","mix master","2024-08-13 18:23:16"
resonance,"bir sesin belirli bir noktada güçlenmesi veya belirgin hale gelmesine denir","mix master","2024-08-13 18:24:18"
conventional,"geleneksel, alışılagelen, yaygın olan, standart","mix master","2024-08-13 18:27:08"
process,"bir şeyin gerçekleştirilmesi için izlenen adımlar ve yöntemler bütünü","mix master","2024-08-13 18:30:25"
high-end,"8khz 20khz aralığındaki tiz sesleri kapsar('s','t',ziller vs)","mix master","2024-08-13 18:42:50"
mid-range,"250 hz 4 khz aralığını kapsar(vokal,gitar,piano vs)","mix master","2024-08-13 18:43:30"
therefore,"bu yüzden bu nedenle","mix master","2024-08-13 18:49:35"
spike,"ani kısa süreli sinyal artışı","mix master","2024-08-13 19:05:52"
muddle,karışıklık,"mix master","2024-08-13 19:07:22"
predicate,"bir veri üzerinde işlem yapan, true ya da false döndüren fonksiyon(koşul ölçer)","artificial intelligence","2024-08-17 10:30:14"
recall,hatırlamak,"artificial intelligence","2024-08-17 10:34:51"
compose,birleştirmek,"artificial intelligence","2024-08-17 10:36:42"
event,"olay etkinlik","artificial intelligence","2024-08-17 10:39:51"
tackle,"bir problemi ele almak, başa çıkmak, üstesinden gelmek","artificial intelligence","2024-08-17 10:45:17"
clarify,"açıklığa kavuşturma, netleştirme","artificial intelligence","2024-08-17 10:46:53"
aspect,"yön, açı, özellik","artificial intelligence","2024-08-17 10:48:07"
raw,"ham işlenmemiş","artificial intelligence","2024-08-17 10:49:52"
suite,"birbirleriyle ilişkisi olan, birbirini tamamlayan bir dizi öğe","artificial intelligence","2024-08-17 10:52:02"
"operating system","işletim sistemi","artificial intelligence","2024-08-17 10:52:58"
operate,"işletmek, yönetmek","artificial intelligence","2024-08-17 10:53:56"
keystorke,"klavye üzerinde yapılan tuş vuruşları","artificial intelligence","2024-08-17 10:55:56"
vein,"benzerlik, aynı tarz (in the same vein)","artificial intelligence","2024-08-17 10:57:43"
conversaley,"tersine, aksine","artificial intelligence","2024-08-17 10:59:14"
accomplish,"başarmak, tamamlamak, hedefe ulaşmak","artificial intelligence","2024-08-17 11:01:21"
designate,"belirleme, işaretleme, atama","artificial intelligence","2024-08-17 11:06:08"
present,"sunmak, göstermek","artificial intelligence","2024-08-17 11:08:08"
addition,"ekleme, toplama, ilave etme","artificial intelligence","2024-08-17 11:11:26"
"keep track","takip etmek, izlemek","artificial intelligence","2024-08-17 11:12:11"
track,"iz, yol","artificial intelligence","2024-08-17 11:12:32"
state,"durum, eyalet, belirtmek","artificial intelligence","2024-08-17 11:13:24"
initial,"ilk, başlangıç","artificial intelligence","2024-08-17 11:15:25"
consist,"oluşmak, ibaret olmak","artificial intelligence","2024-08-17 11:16:44"
clause,"madde şart","artificial intelligence","2024-08-17 11:17:28"
greed,"aç gözlü davranmak","artificial intelligence","2024-08-17 13:27:04"
knapsack,"sırt çantası, arama algoritması 'açgözlü'","artificial intelligence","2024-08-17 13:28:20"
heuristic,"hemen çözüm, kestirim, aç gözlü yaklaşım","artificial intelligence","2024-08-17 14:37:12"
admissible,"kabul edilebilir","artificial intelligence","2024-08-17 14:43:39"
overestimate,"gerçek performansın üzerinde tahmin, abartı","artificial intelligence","2024-08-17 15:29:00"
arbitrarily,"rastgele, keyfi olarak","artificial intelligence","2024-08-17 20:41:08"
constant,"değişmez değişken, sabit değer(int a)","artificial intelligence","2024-08-17 20:44:57"
compound,"farklı veri türlerinin birleşimi olan veri türü/ farklı işlemlerin oluşturduğu süreç","artificial intelligence","2024-08-17 20:54:08"
produce,"kod-algoritma çıktısı/ veri üretmek(ai)","artificial intelligence","2024-08-17 21:02:28"
precisely,"açık olarak, kesinlikle, tam anlamıyla","artificial intelligence","2024-08-17 21:04:02"
suggest,önermek,"artificial intelligence","2024-08-17 21:04:52"
field,"alan, boşluk","artificial intelligence","2024-08-17 21:07:25"
tinker,"ufak tefek tamir, kod üzerinde deneme yapa yapa çalışmak","artificial intelligence","2024-08-18 11:18:52"
dimension,"boyut, ölçü, boyutlandırma","artificial intelligence","2024-08-18 11:19:52"
concern,"endişe, kaygı/ ilgi, alaka/ mesele, konu/ ilgilendirmek","artificial intelligence","2024-08-18 11:22:12"
sequence,"sıra, dizi, ardışıklık","artificial intelligence","2024-08-18 11:23:51"
batch,"toplu, grup, yığın","artificial intelligence","2024-08-18 11:27:48"
determine,"belirlemek, karar vermek, saptamak","artificial intelligence","2024-08-18 11:30:32"
anticipate,"beklemek, öngörmek, tahmin etmek","artificial intelligence","2024-08-18 11:32:28"
intermezzo,"ara parça, ara müzik","artificial intelligence","2024-08-18 11:34:05"
reinvent,"tekrardan icat etmek","artificial intelligence","2024-08-18 11:35:27"
signature,imza,"artificial intelligence","2024-08-18 11:41:28"
spirit,"ruh, moral, karakter","artificial intelligence","2024-08-18 11:43:59"
"objective function","amaç fonksiyonu","artificial intelligence","2024-08-19 15:18:24"
promote,"teşvik etmek, yükseltmek, desteklemek, tanıtmak","artificial intelligence","2024-08-19 15:19:13"
exhaustive,"kapsamlı, ayrıntılı","artificial intelligence","2024-08-19 15:20:12"
impilict,"ima edilen, örtük, açıkça ifade edilmeyen","artificial intelligence","2024-08-19 18:27:31"
collaborative,"işbirlikçi, ortak çalışmaya dayalı","artificial intelligence","2024-08-22 11:57:41"
repository,"depo, kod deposu","artificial intelligence","2024-08-22 12:02:53"
collaborator,"iş birlikçi, ortak çalışan","artificial intelligence","2024-08-22 12:08:50"
resume,özgeçmiş,"artificial intelligence","2024-09-10 09:16:16"
purchase,"satın almak","artificial intelligence","2024-09-10 09:18:34"
enhance,"geliştirmek, yükseltmek, büyütmek","artificial intelligence","2024-09-10 10:13:36"
submission,"teslim, sunma, başvuru","artificial intelligence","2024-09-10 11:56:20"
tap,"dokunmak, kullanmak","ibm data analyst","2024-09-23 08:52:21"
competitive,rekabetçi,"ibm data analyst","2024-09-23 08:53:42"
initiative,girişim,"ibm data analyst","2024-09-23 08:55:04"
expand,genişletmek,"ibm data analyst","2024-09-23 08:55:43"
excellence,mükemmellik,"ibm data analyst","2024-09-23 08:56:27"
multipronged,"çok yönlü","ibm data analyst","2024-09-23 08:57:37"
demand,"talep etmek","ibm data analyst","2024-09-23 08:58:52"
supply,"tedarik, arz, sağlama","ibm data analyst","2024-09-23 08:59:43"
mismatch,uyumsuzluk,"ibm data analyst","2024-09-23 09:00:40"
sought,"aranan, aramak, istemek","ibm data analyst","2024-09-23 09:01:44"
principial,müdür,"ibm data analyst","2024-09-23 09:02:33"
branching,dallanma,"ibm data analyst","2024-09-23 09:03:25"
gain,"kazanmak, kazanç, kar","ibm data analyst","2024-09-23 09:04:48"
entry,"giriş, girdi, kayıt","ibm data analyst","2024-09-23 09:05:36"
strengthen,güçlendirmek,"ibm data analyst","2024-09-23 09:06:32"
fundamental,"esas, temel, ana","ibm data analyst","2024-09-23 09:07:54"
gather,"toplamak, bir araya getirmek","ibm data analyst","2024-09-23 09:08:52"
wrangling,"veri düzenleme, işleme","ibm data analyst","2024-09-23 09:15:10"
knowledge,"bilgi, tecrübe","ibm data analyst","2024-09-23 09:16:40"
ensure,"garanti etmek, emin olmak","ibm data analyst","2024-09-23 09:24:22"
bate,"kesmek, kesintiye uğramak","ibm data analyst","2024-09-23 09:25:25"
beget,"doğurmak, yaratmak, yol açmak","ibm data analyst","2024-09-23 09:26:43"
entity,"varlık, varoluş, öz","ibm data analyst","2024-09-23 09:28:32"
steady,"sürekli, düzenlü, sabit","ibm data analyst","2024-09-23 10:18:46"
interconnected,"sistemler, veriler, süreçler birbirine bağlı etkileşimli","ibm data analyst","2024-09-23 10:22:55"
continually,sürekli,"ibm data analyst","2024-09-23 10:23:48"
evolve,gelişmek,"ibm data analyst","2024-09-23 10:24:37"
integrate,"birleştirmek, entegre etmek","ibm data analyst","2024-09-23 10:26:48"
disparate,"farklı, bambaşka","ibm data analyst","2024-09-23 10:27:40"
collaborate,"iş birliği yapmak","ibm data analyst","2024-09-23 10:28:59"
infrastructure,altyapı,"ibm data analyst","2024-09-23 10:30:16"
disseminate,"yaymak, dağıtmak","ibm data analyst","2024-09-23 10:31:43"
variety,"çeşitlilik, farklılık","ibm data analyst","2024-09-23 10:33:21"
reside,"orada bulunmak, ikamet etmek","ibm data analyst","2024-09-23 10:35:45"
stream,"veri akışı, sürekli üretilen ve iletilen verilerin anlık olarak işlenmesi","ibm data analyst","2024-09-23 10:37:14"
diverse,"türlü, çeşitli, farklı","ibm data analyst","2024-09-23 10:39:18"
acquire,"edinmek, kazanmak, sahip olmak","ibm data analyst","2024-09-23 10:46:00"
integrity,"bütünlük, dürüstlük, tamlık","ibm data analyst","2024-09-23 10:47:50"
conform,"uyum sağlamak, uygun olmak, uymak","ibm data analyst","2024-09-23 10:49:16"
enforce,"uygulamak, zorlamak, yürürlüğe koymak","ibm data analyst","2024-09-23 11:03:54"
guideline,"kılavuz, rehber","ibm data analyst","2024-09-23 11:04:48"
regulate,"düzenlemek, kontrol etmek","ibm data analyst","2024-09-23 11:05:40"
adhere,"uyum sağlamak, bağlı kalmak, riayet etmek","ibm data analyst","2024-09-23 11:07:05"
enterprise,"işletme, şirket, girişim","ibm data analyst","2024-09-23 11:09:01"
adequate,"yeterli, uygun","ibm data analyst","2024-09-23 11:12:09"
pave,"yol döşemek, zemin hazırlamak","ibm data analyst","2024-09-23 11:14:19"
vast,"çok büyük, kapsamlı","ibm data analyst","2024-09-23 11:23:41"
maintain,"sürdürmek, korumak, devam ettirmek","ibm data analyst","2024-09-23 11:26:55"
utilize,"kullanmak, yararlanmak","ibm data analyst","2024-09-23 11:29:14"
derive,"türetmek, bir şeyden elde etmek","ibm data analyst","2024-09-23 11:31:47"
inspect,"denetlemek, incelemek, gözden geçirmek","ibm data analyst","2024-09-23 11:32:28"
interpret,"yorumlamak, anlamak, çevirmek","ibm data analyst","2024-09-23 11:34:08"
brand,"marka, markalaşmak","ibm data analyst","2024-09-23 11:37:06"
spreadsheet,"tablo, elektronik tablo, hesap tablosu","ibm data analyst","2024-09-23 11:44:36"
chart,çizelge,"ibm data analyst","2024-09-23 13:08:43"
dashboard,"gösterge tablosu","ibm data analyst","2024-09-23 13:09:15"
predictive,"tahmine dayalı, öngörücü","ibm data analyst","2024-09-23 13:11:12"
precentage,yüzde,"ibm data analyst","2024-09-23 13:12:27"
quarter,"çeyrek/ yılın dörtte biri/ mahhalle, bölge","ibm data analyst","2024-09-23 13:14:32"
leverage,"avantaj sağlamak, bir durumu güçlendirmek, kaldıraç","ibm data analyst","2024-09-23 13:15:57"
essential,"temel, gerekli, hayati","ibm data analyst","2024-09-23 13:31:43"
indicator,"gösterge, belirti","ibm data analyst","2024-09-23 13:33:05"
diagnostic,"tanısal, teşhis","ibm data analyst","2024-09-23 13:34:04"
region,"bölge, coğrafi- siyasi alan","ibm data analyst","2024-09-23 13:35:27"
assessment,değerlendirme,"ibm data analyst","2024-09-23 13:36:41"
forecast,"tahmin, öngörü","ibm data analyst","2024-09-23 13:37:21"
estimate,"tahmin etmek","ibm data analyst","2024-09-23 13:39:22"
basis,"temel, dayanak, esas","ibm data analyst","2024-09-23 13:40:24"
course,"kurs/ yön, rota/ gelişim süreci","ibm data analyst","2024-09-23 13:41:39"
prescriptive,"önerici, kural koyucu","ibm data analyst","2024-09-23 13:44:01"
desire,"istek, arzu","ibm data analyst","2024-09-23 13:49:42"
achieve,"başarmak, ulaşmak, elde etmek","ibm data analyst","2024-09-23 13:50:47"
demographics,"nüfus yapısını, özelliklerini, dağılımını inceleyen istatistikler","ibm data analyst","2024-09-23 13:54:54"
outlier,"aykırı değer, veri kümesinde diğerlerinden belirgin şekilde farklı değer","ibm data analyst","2024-09-23 13:56:47"
evaluate,değerlendirmek,"ibm data analyst","2024-09-23 13:59:07"
objection,itiraz,"ibm data analyst","2024-09-23 14:00:31"
impact,"etki, darbe","ibm data analyst","2024-09-23 14:19:09"
hypothesis,"hipotez, varsayım","ibm data analyst","2024-09-23 14:28:48"
convey,"iletmek, aktarmak","ibm data analyst","2024-09-23 14:30:03"
dictate,"dikte etmek, belirlemek, emir vermek","ibm data analyst","2024-09-23 14:31:46"
review,"gözden geçirmek, incelemek, değerlendirmek","ibm data analyst","2024-09-23 14:35:12"
phenomenon,"fenomen, olay, dikkat çeken, incelenmeye değer olan","ibm data analyst","2024-09-23 14:37:52"
relevant,"ilgili, alakalı","ibm data analyst","2024-09-23 14:38:36"
appeal,"başvuru, cazibe, çekicilik","ibm data analyst","2024-09-23 14:39:54"
audience,"dinleyici, izleyici, kitle","ibm data analyst","2024-09-23 14:40:50"
interchangeably,"birbirinin yerine, değiştirerek","ibm data analyst","2024-09-23 14:43:23"
subtle,"hemen göze çarpmayan, incelikli, belirsiz","ibm data analyst","2024-09-23 14:45:02"
examination,"sınav, inceleme, değerlendirme, muayene, analiz","ibm data analyst","2024-09-23 14:46:32"
computational,"hesaplamalı, bilgisayar bilimleri ve matematikle ilgili işlem, süreç","ibm data analyst","2024-09-23 14:48:44"
whereas,"halbuki, ama, oysa","ibm data analyst","2024-09-23 14:49:54"
